,review,point,date,ingre,token_review
2359,............,5,2018-10-06,프로폴리스,[]
2360,저렴하게 좋은 제품 구매합니다 가성비가 좋은 제품 입니다 감사합니다 많이 파세요,5,2018-10-06,프로폴리스,"['저렴하게', '좋은', '제품', '구매', '합니다가', '성비', '가', '좋은', '제품', '입니다', '감사합니다', '많이', '파세요']"
2361,최저가 굿한병 쓰고 좋아서 재주문임돠,5,2018-10-07,프로폴리스,"['최저', '가', '굿', '한', '병', '쓰고', '좋아', '서재', '주문', '임돠']"
2362,이거 35ml정량 맞나요?새거뜯은건데 원래 이정도 비어있는게 맞는건지..?,2,2018-10-07,프로폴리스,"['이', '거', '정량', '맞나', '요새', '거', '뜯은건데', '원래', '이', '정도', '비어있는게', '맞는', '건지']"
2363,저렴하고 세트구성이 좋아요,5,2018-10-07,프로폴리스,"['저렴하고', '세트', '구성', '이', '좋아요']"
2364,배송이 늦어 문의전화를 드렸는데 너무 불친절하시네요전화응대 교육이 필요해보입니다,2,2018-10-08,프로폴리스,"['배송', '이', '늦어', '문의', '전화', '를', '드렸는데', '너무', '불친절하시네요', '전화', '응대', '교육', '이', '필요해', '보입니다']"
2365,차앤박 프로폴리스,5,2018-10-08,프로폴리스,"['차앤박', '프로폴리스']"
2366,항상 쓰는 제품인데 가격 저렴하게 구입했어요 ^^,5,2018-10-08,프로폴리스,"['항상', '쓰는', '제품', '인데', '가격', '저렴하게', '구입', '했어요']"
2367,늘 쓰는 제품이라서 또 샀어요,5,2018-10-08,프로폴리스,"['늘', '쓰는', '제품', '이라서', '또', '샀어요']"
2368,배송 빠르고 품질 좋아요. 피부가 촉촉해져요,5,2018-10-09,프로폴리스,"['배송', '빠르고', '품질', '좋아요', '피부', '가', '촉촉해져요']"
2369,상품 품질이 좋습니다. 마음에 들어요!ㅡ,5,2018-10-10,프로폴리스,"['상품', '품질', '이', '좋습니다', '마음', '에', '들어요']"
2370,마니조아요 뒷날화장 잘먹네요,5,2018-10-10,프로폴리스,"['마니', '조아요', '뒷날', '화장', '잘', '먹네요']"
