,review,point,date,ingre,token_review
12,싸게 잘 구매했네요 피부가 좋아졌으면 좋겠어요기대되네요 잘 쓸게요:-),5,2018-09-07,머그워트,"['싸게잘', '구매', '했네요', '피부', '가', '좋아졌으면', '좋겠어요', '기대', '되네요', '잘쓸게요']"
13,배송도 빠르고 촉촉해요~!,5,2018-09-10,머그워트,"['배송', '도', '빠르고', '촉촉해요']"
14,좋아요!! 쑥100에 가격도 착한거같고 발림성도 좋아요 촉촉 다쓰고 또살꺼에요 ㅎㅎㅎ,5,2018-09-14,머그워트,"['좋아요', '쑥', '에', '가격', '도', '착한거', '같고', '발림', '성', '도', '좋아요', '촉촉', '다', '쓰고', '또', '살꺼에요']"
15,배송도 빠르고 유통기한도 길어서맘에들어요. 아쉬운점은 사은품이 샘플하나도 없다는 거예요~,5,2018-10-01,머그워트,"['배송', '도', '빠르고', '유통', '기한', '도', '길어서', '맘', '에', '들어요', '아쉬운', '점', '은', '사은', '품', '이', '샘플', '하', '나도', '없다는거예요']"
16,그냥 아직 잘 모르겟디만 그냥 쓰고잇어여,3,2018-10-03,머그워트,"['그냥', '아직', '잘', '모르겟디', '만', '그냥', '쓰고', '잇어여']"
17,요즘 쑥에센스가 인기가 많더라구요올리브영에서 세일한다길래 찾아보다 쿠폰쓰고 하니 11번가가 더 저렴해서 구입했네요피부가 정돈되고 뽀루지에 좋다해서 도착하자마자 바르고 화장솜에 뭍혀 흡수시키고 있네요,4,2018-10-11,머그워트,"['요즘', '쑥', '에센스', '가', '인기', '가', '많더라구요', '올리브영', '에서', '세일', '한', '다', '길', '래', '찾아보다', '쿠폰', '쓰고하니', '번가', '가더', '저렴해서', '구입', '했네요', '피부', '가', '정돈', '되고', '뽀', '루지', '에', '좋', '다해', '서', '도착', '하', '자마자', '바르고', '화장', '솜', '에', '뭍혀', '흡수', '시키고있네요']"
18,만족만족합니다 만족합니다,5,2018-11-05,머그워트,"['만족', '만족합니다', '만족합니다']"
19,매장보다 저렴하게 잘 샀습니다지인 추천으로 구입했는데너무 좋아요,5,2018-11-11,머그워트,"['매장', '보다', '저렴하게잘', '샀습니다', '지인', '추천', '으로', '구입', '했는데', '너무', '좋아요']"
20,한번 썼는데아주 좋네요,5,2018-11-12,머그워트,"['한번', '썼는데', '아주', '좋네요']"
21,좋다고 소문듣고 사요 아마 곧 또 살듯 합니다,5,2018-11-27,머그워트,"['좋다고', '소문', '듣고사', '요', '아마', '곧또', '살듯', '합니다']"
22,진짜 좋아요 다음에 또 구매하고싶어요 진짜좋아요 너무 ？？아요 배송도 빠르고 진짜 ？？네요,5,2018-11-28,머그워트,"['진짜', '좋아요', '다음', '에', '또', '구매', '하고', '싶어요', '진짜', '좋아요', '너', '무아', '요', '배송', '도', '빠르고', '진짜', '네', '요']"
23,미세먼지땜인지 너무 뒤집어져서 급하게 알아보고 구매한거였어요 제품 맘에 들어요 진정 되는게 보이고 트러블 압출도 수월해졌어요,5,2018-11-29,머그워트,"['미세먼지', '땜', '인지', '너무', '뒤집어져서', '급하게', '알아보고', '구매', '한', '거', '였어요', '제품', '맘', '에', '들어요', '진정', '되는게', '보이', '고', '트러블', '압', '출도', '수월해졌어요']"
24,지인 추천으로 샀는데촉촉하고 좋네요.무거운 에센스 느낌은 아니고조금 무게감있는 스킨 정도 농도에요,5,2018-12-07,머그워트,"['지인', '추천', '으로', '샀는데', '촉촉하고', '좋네요', '무거운', '에센스', '느낌', '은', '아니고', '조금', '무게', '감있는', '스킨', '정도', '농도', '에요']"
25,지금쓰고 있는데 하나 더 샀어요배송도 빠르고 피부도 안정되는 거 같아 좋네요,5,2018-12-08,머그워트,"['지금', '쓰고있는데하', '나더', '샀어요', '배송', '도', '빠르고', '피부', '도', '안정', '되는거', '같아', '좋네요']"
26,아직 사용전이라 어떨지 모르겠네요 보기엔 너무 묽은게 아닌가 하는데 써봐야 알겠죠?? 유통기한은 20년 11월까지네요,4,2018-12-08,머그워트,"['아직', '사용', '전이', '라', '어떨지', '모르겠네요', '보기', '엔', '너무', '묽은게', '아닌가하는데', '써', '봐야', '알겠죠', '유통', '기한', '은', '년월', '까지', '네', '요']"
27,좋아요순한듯,5,2018-12-19,머그워트,"['좋아요', '순한듯']"
28,세일할때 사봤어요 효과는 모르겠어요 꾸준히 써보려구요,5,2018-12-19,머그워트,"['세', '일', '할', '때', '사봤어요', '효과', '는', '모르겠어요', '꾸준히', '써', '보려구요']"
29,ㅇㅇㅇㅇㅎㅇㅇㅇㅇㅇㅎㅎㅎㅇㅇㅇㅇㅇㅇ,5,2018-12-20,머그워트,[]
30,배송 빠르고 잘 포장돼서 왔어요!,5,2018-12-21,머그워트,"['배송', '빠르고잘', '포장', '돼서', '왔어요']"
31,아직모르겠어요 모르는데 리뷰써야해서ㅡㅡ;;;,3,2018-12-21,머그워트,"['아직', '모르겠어요', '모르는데', '리뷰', '써야', '해서']"
32,좋네요~~재구매의사있습니다,5,2018-12-22,머그워트,"['좋네요', '재구매', '의사', '있습니다']"
33,진정효과 있는듯 해요,5,2018-12-24,머그워트,"['진정', '효과', '있는듯', '해', '요']"
34,선물했는데 좋아요,4,2018-12-24,머그워트,"['선물', '했는데', '좋아요']"
35,진정효과 있는거 같네요,5,2018-12-26,머그워트,"['진정', '효과', '있는거', '같네요']"
36,배송도 빠르고 제품도 너무 좋네요^^ 순해요^^^,5,2019-01-02,머그워트,"['배송', '도', '빠르고', '제품', '도', '너무', '좋네요', '순해요']"
37,좋은 가격에 잘 구매했습니다.,5,2019-01-02,머그워트,"['좋은', '가격', '에', '잘', '구매', '했습니다']"
38,빠른 배송 감사합니다 많이 파세여 향도 좋고 촉촉하고 보습력도 좋네요,5,2019-01-21,머그워트,"['빠른', '배송', '감사합니다', '많이', '파세여', '향', '도', '좋고', '촉촉하고', '보습', '력', '도', '좋네요']"
39,오자마자 써봤는데 대박 흡수 부드러워용,5,2019-01-24,머그워트,"['오', '자마자', '써', '봤는데', '대박', '흡수', '부드러워용']"
40,몇 번째 재구매인지 몰라요 향이 우선 너무 좋아요 은은하면서 쑥 향이 기분을 편하게 만들어줘요 확실히 홍조에 탁월하고 뾰루지 가라앉히는데 도움되요 계속 계속 쓰고싶은 아이템입니다,5,2019-01-31,머그워트,"['몇번', '째재', '구매', '인지', '몰라요', '향', '이우선', '너무', '좋아요', '은은하면서', '쑥향', '이기', '분', '을', '편하게만', '들어줘요', '확실히', '홍조', '에', '탁월하고', '뾰', '루지', '가라앉히는데', '도움', '되요', '계속계속', '쓰고', '싶은', '아이템', '입니다']"
41,임블리보다 훨배좋아요,5,2019-02-08,머그워트,"['임블', '리보', '다', '훨배', '좋아요']"
42,건강해지는 화장품 잘 쓸게요:-)),5,2019-02-11,머그워트,"['건강해지는', '화장품', '잘쓸게요']"
43,쑥향이 진하게 나네요.촉촉해서 지금 쓰기 좋아요!!,5,2019-02-12,머그워트,"['쑥향', '이', '진하게나네요', '촉촉해서', '지금', '쓰기', '좋아요']"
44,잘 사용해 볼게요 기대중,5,2019-02-15,머그워트,"['잘', '사용', '해볼게요', '기', '대중']"
45,믿고 구매하는 제품입니다. 배송도 빠르고 좋아요~,5,2019-02-16,머그워트,"['믿고', '구매', '하', '는', '제품', '입니다', '배송', '도', '빠르고', '좋아요']"
46,이거랑 비슷한 쑥 제품을 쓰다가 가격도 더렴하고 100프로 쑥이라고 해서 바꿔봤어요^^가격도 좋은데 상품도 보들보들하니 좋네요앞으로 이 제품으로 사서 쓰려고요. 감사합니다!!,5,2019-02-17,머그워트,"['이', '거', '랑', '비슷한', '쑥', '제품', '을', '쓰다가', '가격', '도', '더렴', '하고프로', '쑥', '이라고', '해서', '바꿔', '봤어요', '가격', '도', '좋은데', '상품', '도', '보들보들하니', '좋네요', '앞', '으로', '이', '제품', '으로', '사서', '쓰려고요', '감사합니다']"
47,배송빠르네용!물건은 아직안써봤어요ㅎㅎ기대중입니당,5,2019-02-18,머그워트,"['배송', '빠르', '네', '용', '물건', '은', '아직', '안', '써', '봤어요', '기대', '중', '입니당']"
48,한참 쓰다가 리뷰남겨요피부가 아토피도 있고 예민한편인데처음쓰는데도 특별한 트러블같은건 없었어요무난하게 스킨대용으로 쓰기좋고 촉촉하진 않아요,4,2019-02-18,머그워트,"['한참', '쓰다가', '리뷰', '남겨요', '피부', '가', '아토피', '도', '있고', '예민', '한편', '인데', '처음', '쓰는데도', '특별한', '트러블', '같은건', '없었어요', '무난', '하', '게', '스킨', '대용', '으로', '쓰기', '좋고', '촉촉하진', '않아요']"
49,엄청난 효과는 못느꼈어요.,3,2019-02-19,머그워트,"['엄청난', '효과', '는', '못', '느꼈어요']"
50,잘바당ㅆ습니다.감사합니다.,4,2019-02-21,머그워트,"['잘', '바', '당', '습', '니', '다감', '사합니다']"
51,쓰던거라 또사요 만족합니다,5,2019-02-24,머그워트,"['쓰던거라', '또사', '요', '만족합니다']"
52,아직 사용전이라 어떨지는 모르겠네요~~써보구 좋으면 재구매 하려구요~~배송빠르고 포장을 꼼꼼하게 잘 보내주셨네요^^,3,2019-02-26,머그워트,"['아직', '사용', '전이', '라', '어떨지는', '모르겠네요', '써', '보구', '좋으면', '재구매', '하려구요', '배송', '빠르고', '포장', '을', '꼼꼼하게잘', '보내주셨네요']"
53,홍조가있어서고민하다가주변추천과평이좋아서기다하며주문해봤어요 쑥이좋은건다아는사실이니효과가있었음좋겠네요,5,2019-02-26,머그워트,"['홍조', '가', '있어서', '고민', '하', '다가', '주변', '추천', '과', '평이', '좋아', '서기', '다', '하며', '주문', '해봤어요', '쑥', '이', '좋은', '건', '다', '아는', '사실', '이니', '효과', '가', '있었음', '좋겠네요']"
54,여드름 진정에 효과가 좋아서 늘 쓰는 제품입니당 ~~ 배송도 빨라요 ㅎㅎ,5,2019-02-27,머그워트,"['여드름', '진정', '에', '효과', '가', '좋아서', '늘', '쓰는', '제품', '입니당', '배송', '도', '빨라요']"
55,아임프롬 에센스 트러블에 효과 있어요 재구매했어요,5,2019-02-28,머그워트,"['아', '임', '프롬', '에센스', '트러블', '에', '효과', '있어요', '재구매', '했어요']"
56,세일할때잘산듯요물건문제없이잘도착했습니다,5,2019-03-01,머그워트,"['세', '일', '할', '때', '잘산듯', '요물', '건문제', '없이', '잘도', '착했습니다']"
57,아직하루밖에안되서잘모르겠음 ㅜㅜ,5,2019-03-01,머그워트,"['아직', '하루', '밖에', '안되서', '잘', '모르겠음']"
58,중딩 아들 여드름 때문에 주문해봤어요.꿀팩이랑 같이 주문했는데 잘 듣길 바래봅니다,5,2019-03-01,머그워트,"['중딩', '아들', '여드름', '때문', '에', '주문', '해봤어요', '꿀팩', '이랑', '같이', '주문', '했는데', '잘', '듣길', '바', '래', '봅니다']"
59,아임프롬 쑥에센스 좋아요~3개째 구매했어요,5,2019-03-02,머그워트,"['아', '임', '프롬', '쑥', '에센스', '좋아요', '개', '째', '구매', '했어요']"
60,아이프롬 머그워트 에센스 좋아요,5,2019-03-04,머그워트,"['아이', '프롬', '머그', '워트', '에센스', '좋아요']"
61,아직안써봐서 모르지만 좋을것가타요,4,2019-03-04,머그워트,"['아직', '안', '써', '봐서', '모르지만', '좋을것', '가타', '요']"
62,중학생딸이 이것만 쓰네요~저렴할때 쟁여야지요ㅋ,5,2019-03-04,머그워트,"['중학생', '딸이이것만', '쓰네요', '저렴할', '때쟁', '여야', '지', '요']"
63,촉촉하니 금방 스며들고 좋다네요.,5,2019-03-04,머그워트,"['촉촉하니', '금방', '스며들고', '좋다네요']"
64,세일가로 저렴하게 구매 ㅎㅎ 감사요,5,2019-03-04,머그워트,"['세', '일', '가로', '저렴하게', '구매', '감사', '요']"
65,좋아요 잘산것같아요,4,2019-03-04,머그워트,"['좋아요', '잘산것', '같아요']"
