,나이,성별,건성,지성,모름,건조함,과잉피지,여드름,좁쌀,홍조&예민,복합성,기미&잡티,미백앰플,수분라이트,수분앰플,쑥앰플,진정앰플
169,5.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
170,3.0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1
171,1.0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1
172,2.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
173,2.0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1
174,4.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
175,4.0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
176,3.0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1
177,8.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
178,5.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
179,2.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
180,3.0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
181,2.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
182,2.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
183,2.0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
184,5.0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1
185,3.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
186,4.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
187,3.0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1
188,4.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
189,5.0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
190,1.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
191,2.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
192,3.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
193,2.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
194,4.0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1
195,6.0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1
196,3.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
