,reviews,starpoint,date
140,"스킨 향도 좋고, 앰플 써보니 보습이 좋아서 남성용도 구입해봅니다.",100점,2019.09.08
141,촉촉하게 스며드는것이 아주 좋아요. 대용량 살걸 그랬나봐요 ㅎ,100점,2020.01.13
142,요즘같은 마스크 착용으로 민감해지고 자극적이게 변한 피부에 좋은듯합니다,100점,2020.09.21
143,가격도 아주 착하고 구성품도 좋아요..아직 제품사용은 안했는데 좋을거라 믿어요,100점,2020.09.19
144,쌤풀까지 챙겨주시고 세일할때 구매해서 아낌없이 피부에 부담없이 바를수 있어요,80점,2020.01.13
145,가격대비 전 좋아요.촉촉하니 유분기가 있어요.,80점,2020.04.30
146,행사할때마다 구입해두는 품목입니다. 악성건조피부에 잘 맞아요,100점,2020.05.25
147,"용량은 작아요,유통기간도 짧은편이예요(21.10월) 앰플은 발라보니 좋은것 같아요~♥",80점,2020.07.08
148,"용량은 작아요,유통기간도 짧은편이예요(21.10월) 앰플은 발라보니 좋은것 같아요~♥",80점,2020.07.08
149,"용량은 작아요,유통기간도 짧은편이예요(21.10월) 앰플은 발라보니 좋은것 같아요~♥",80점,2020.07.08
150,구성 짱이예요. 파우치도 맘에 들어요. 정말 만족스러운 구매였어요. 잘 사용할께요~,100점,2020.12.19
151,선물용으로 구매했는데 사용해보지 않아 모르지만 어쨋든 저렴하게 잘 구매했네요.,80점,2020.10.06
152,겨울에 보습용으로 구입해 봤는데 흡수가 잘 되서 좋았습니다.,80점,2019.05.15
153,피부에 맞아 항상 애용하고 있어요. 앰플엔 좋아요. 행사라 또 구매합니다.,80점,2019.09.10
154,피부에 맞아 항상 애용하고 있어요. 앰플엔 좋아요. 행사라 또 구매합니다.,80점,2019.09.10
155,가을이라 건조하지만 오일리하지않은 제품을 원했는데 좋아요,80점,2019.11.12
156,잘받았습니다~설빅쿠폰으로 저렴한가격에 구매했습니다~재구매^^잘받았습니다,100점,2020.01.11
157,가격이 올랐는데 세일땜에 싸게 잘샀어요. 득템한 기분이에요. 항상 쟁여놓고 써요.,100점,2020.01.11
158,아직 효과는 잘 모르겠지만 트러블은 없는걸로 봐선..좀 더 써봐야 알것같아요.,100점,2020.01.30
159,잘 받았습니다. 쿠폰 받아 저렴하게 구입할 수 있어서 좋아요. 빠른배송 감사합니다.,100점,2020.06.28
160,잘 받았습니다. 쿠폰 받아 저렴하게 구입할 수 있어서 좋아요. 빠른배송 감사합니다.,100점,2020.06.28
161,가성비 최고에요. 엄마 어머니께 선물로 최고!,100점,2020.07.02
162,골드를 얼굴에 바른다는 것이 기분만으로도 피부가 업되는 것같습니다.,100점,2020.11.11
163,잘 받았습니다. 배송빠르고 저렴하게 구입할 수 있어서 좋아요. 잘 사용하겠습니다,100점,2021.02.07
164,세상에나 특가 가격으로 저렴하게 구매해서 되게 잘사용하고 있습니다.,100점,2019.07.12
165,좋아요~~특가라서 싸고 또 한가위 쿠폰 적용해서 많이 저렴하게 구매했어요^^,100점,2019.08.27
166,빠른 배송 감사합니다 아주 민감한 피부인데 가렵지 않고 좋아요 잘 쓸게요,100점,2019.09.11
167,9월 6일날 산게 16일날 왔어요 힝 쓰고 있는 제품인데 다 써가서 또 산거에요 순하고 좋아요,100점,2019.09.17
168,촉촉함은 오래가지 못하네요. 주름개선은 계속 사용해 봐야 알겠죠..,60점,2020.01.14
169,남자도 관리해야합니다 저렴하게 구입해서 매일 샤워후 쳐발쳐발 하고 있습니다 좋아요,60점,2020.05.28
170,이전 행사때 구매했는데 이제막 개봉해 써보고 괜찮은것 같아 이번 행사때 미리 구매했네요,80점,2020.06.27
171,앰플이 좋아서 계속 쓰고 있는데 토너도 기대되네요. 용량도 커서 더 좋습니다.,100점,2020.07.29
172,좋은가격에 구매를 한것같네요 포장지라도 조금 신경쓰면 더 좋겠네요 많이파세요,60점,2019.09.01
173,김치가 싱싱하고 아삭해서 지금까지 시켜먹었던것중에 제일 맛있습니다. 잘먹을께요 번창하세요.,100점,2019.11.09
174,향좋구요 꾸준히해봐야알것지만 전반적으론 좋아요 쿠폰으로저렴히구매 득템한기분이에요,100점,2020.01.11
175,보습력도 탄력도 그냥보통인것같아요 아직은열심히바르고있는데 더써보고 또후기올리께요,60점,2020.02.11
