,reviews,starpoint,date
236,잘받앗어요,80점,2020.11.18
237,오프라인 보다 훨씬 싸서 좋아요,100점,2020.11.19
238,감사합니다,100점,2020.11.25
239,너무 좋아요 너무 좋아요,100점,2020.11.28
240,아주좋아요,100점,2020.12.02
241,좋은물건 빠른배송 감사합니다,100점,2020.12.04
242,잘쓸께요 ^^,80점,2020.12.05
243,마음에 들어요,100점,2020.12.06
244,얼어서 왔어요. 녹으면 써야죠,100점,2020.12.16
245,좋아요~많이 파세요~!,80점,2020.12.18
246,좋아용,100점,2020.12.19
247,써보니 좋아서 다시 재구매합니다 잘 쓸께요,100점,2020.12.12
248,아주 좋아요.,80점,2020.12.23
249,감사합니다.,100점,2021.01.07
250,다쓰고나면 재구매할게요,80점,2021.01.11
251,꽁꽁 얼어서 왔네요,80점,2021.01.20
252,감사합니다.,100점,2021.01.21
253,빠른배송 감사합니다. 잘 쓸께요~,100점,2021.01.22
254,배송이 너무 느려요.~,80점,2021.02.02
255,3종류 오일에 섞어서 바르고 잇는데 좀더 써보고 좋으면 재구매,100점,2021.02.04
256,다 사용해서 재구매입니다,100점,2021.02.04
257,좋으면 다쓰고 재구매 하고,100점,2021.02.04
258,아주 좋습니다. 잘 사용 하겠습니다. 좋은 제품이길 바라겠습니다.,100점,2021.02.05
259,잘 받았읍니다.,100점,2021.02.05
260,정~~~~~~~말 왕좋아요,100점,2021.02.06
261,항상잘쓰고 있습니다,100점,2021.02.08
262,좋아요 좋아요 좋아요,100점,2021.02.10
263,감사합니다,100점,2021.02.16
264,좋아요 좋아요 좋아요 좋아요 좋아요,60점,2021.02.18
265,좋아요 좋아요 좋아요 좋아요 좋아요,60점,2021.02.18
266,네 얼었어요 ...,80점,2021.02.25
267,ㄱㄷ그그슷ㄷㅅㄷㅅ,100점,2021.02.27
268,잘 받았습니다,80점,2021.02.28
