,reviews,starpoint,date
41,건조한 피부예요 앰플을 두세번 3분 간격으로 바르기를 반복하고 있는데 속 쫀쫀은 잘 모르겠고 겉은 살짝 말라서 건조해져요 피지오겔이랑 섞어 써야 겉촉바촉이 되요 확 달라지진 않았지만 괜찮아요ㅡ,100점,2020.07.29
42,저는 스포이드로 4방울 이상은 해야 좀 촉촉하게 느껴지는 것 같아서 아낌없이 썼더니 한달반 정도면 다 쓸것같아요ㅠㅠㅠ 좀 비싼 것 같은데 그래도 이거 바른 뒤부터는 확실히 덜건조하고 탱탱한 느낌이라 또 구매할 것 같습니다,100점,2020.12.05
43,겨울에 쓰기 정말 좋아요 촉촉하고 화장도 잘 받아요 !!^^ 재구매의사있습니다 건조해서 각질 일어나고 했는데 이거 바르고 난뒤부터는 싹 사라졌어요 다른 화장품이랑 섞어서 사용해도 좋네요,100점,2020.02.11
44,"제품사고나서 더 세일해서 속상했는데 물건받아보니 두세트시켜서그런가 샘플도 더주시고 그래서 기분이 사르르르르 앰플은 원래쓰던거라 말할 것도없이 쫀쫀하고 피부속을 채우는, 건강한 피부를 만드는 느낌이라서 늘 사용하고있어요",100점,2020.03.06
45,좋다는얘기는 많이들어서 한번 주문해봤어요~ 피부가 완전 예민한편이라 성분도 꼼꼼히 따져보고 주문했어요!^^ 써보고 좋으면 더 큰사이즈로 구매할 예정입니다! 사은품도 이것저것 많이 챙겨주네요♡ 사진에 다 못담은 사은품들이 많아요~,100점,2020.11.03
46,"쓸 땐 아주 무난무난하고 촉촉한 에센스입니다 그러다 안쓰면 확실히 쓸때가 좋았구나 라고 생각이 들고, 그래서 계속해서 재구매하게 되는것 같아요. 피부에 활력을 주는것 같기도 하고요.",100점,2021.01.17
47,몇년 째 사용중입니다 촉촉 보습 효과 너무 좋구 진정 효과도 있어용 특히 겨울에는 이거 따라올만한 세럼은 없는거 같습니당 건조하지 않구 쫀쫀해요! 샘플로 오는것도 엄청 양이 많아서 좋아용,100점,2020.12.20
48,몇년 째 사용중입니다 촉촉 보습 효과 너무 좋구 진정 효과도 있어용 특히 겨울에는 이거 따라올만한 세럼은 없는거 같습니당 건조하지 않구 쫀쫀해요! 샘플로 오는것도 엄청 양이 많아서 좋아용,100점,2020.12.20
49,아쉽다아쉬워 계속 기다리다가 떨어지기 직전이라 샀는데 아깝다 쫌만 더 참을걸 악성건성이라 유분기많은 크림만 썼는데 이 앰플 쓰고 부터는 수분크림만 발라도 촉촉해서 애용합니다,100점,2019.09.06
50,딸아이 추천받아 써 보고 너무 좋아 두번째 구매해 사용중입니다 끈적이지 않아 여름에 쓰기 좋고 피부에 잘 스며듭니다 겨울엔 엠플 바르고 크림 덜발라 주면 더 좋을 듯 합니다^^ 재구매 의사 100%,100점,2020.08.15
